,videoId,channelTitle,publishedAt,channelId,title,description,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
59,T_fpGT0zL_4,オーイシ加藤のピザラジオ,2020-01-26T07:49:55Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】ルールはたった１つ！単純だけど斬新なゲーム【ヤバラス】,JELLY JELLY CAFE - 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,238039,1999,79,0,547
60,k87wPj4Src4,オーイシ加藤のピザラジオ,2019-11-03T01:21:03Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】押して、落として、取る、頭脳対戦ゲーム【オストル】,テロップでナナメに行けるとありますが、行けないです 失礼しました ・オストル ルール 自分のコマか、中央の穴を上下左右に１つ動かすことができる。 コマはそれに連なるコマ ...,236994,1597,96,0,350
61,q6kesHPD4RU,わんぱくスライムサム,2019-05-31T01:00:02Z,UC9Zdd9it76mju2OXfh_gmww,二人対戦用バスケットボールのボードゲームを作ろう！,みんなのインスピレーションの出所はどこ？スーは卓球で遊んでいる時、テーブル用バスケットボールのインスピレーションを得たんだ！とてもかっこいいダンボール ...,234168,1293,132,0,120
62,kfSVxsjQemQ,オーイシ加藤のピザラジオ,2020-04-11T08:26:03Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】絶対喧嘩になる協力型ダンジョン攻略ゲーム【スライドクエスト】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,233844,1912,76,0,346
63,K2IxO3hNx1s,EBIZO TV 市川團十郎 白猿,2020-09-19T10:15:01Z,UCknvALy7ONPs0rC-xQkvp4g,【涙の訳は？】楽しいボードゲーム！のはずが…しかし、勸玄は立ち直ります,ただの涙ではないんです。 ここから立ち直って努力する子なんです！ ◇EBIZO TIMES https://ebizotimesx.com/ →SNSや活動を丸ごと！ ◇アメーバブログ ...,231255,6369,126,0,0
64,GIH89Rcsgw0,オーイシ加藤のピザラジオ,2020-08-16T05:59:57Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】会話禁止の意思疎通ゲームで仲間割れ！【ザ・マインド】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,223796,5041,77,0,1275
65,nfmNaPzasRI,MASAKINOKAI,2016-10-01T16:26:36Z,UCupaXTe9N6Aj0iVDnGifdVA,コヨーテ【ボードゲーム】,,219958,470,93,0,91
66,7VteZyunEms,赤髪のともの実写チャンネル!!,2019-10-01T09:39:13Z,UChFqyZDekCMt_z7sVO3JjBQ,ガキ使の面白いボードゲーム!荒技連発にちょっと待ったぁ!ｗ【赤髪のとも】,チャンネル登録お願いします！☆ http://goo.gl/k3Gt4k ☆メインのゲーム実況チャンネル！☆ http://goo.gl/JsU6JN ☆3つ目のサブチャンネルもあります！,216816,3032,30,0,254
67,4eH_yTnA8nU,カジサックの小部屋,2020-06-03T12:00:03Z,UCdEpbrlHoqnUGMRy2LICtRw,【ボードゲーム】夫婦時間にヨメサックから勝負を挑まれました,カジサックから挑んだオセロ動画はこちら https://youtu.be/p1ey1Laa0iM メインチャンネルはこちら https://www.youtube.com/channel/UC642pLj4GXSj-0Ybdx3ytmA ...,214858,4869,109,0,712
68,OueKzflsVGg,オーイシ加藤のピザラジオ,2020-05-10T04:00:15Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】5文字で伝えろ！新語創作ゲーム【ゴモジン】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,213365,2264,80,0,757
69,ISqoI9kpTzg,LEOTOY / レオトイ,2020-03-11T16:04:48Z,UC7RQMyUPzbQerM6rKRGqhvA,宇宙で一番面白いボードゲーム。『KLASK』が進化しました。,購入するならコチラ https://amzn.to/3cNViQw 前回 https://youtu.be/DgA3r-AAN9I お相手はコチラ @FL-Haruki サブチャンネル ...,208918,2327,123,0,303
70,zELXxeD2JGI,ゴージャス動画,2018-03-06T09:00:07Z,UCXCknrYDQ2VlVxBnRWBnEFg,【ボードゲーム】まりんかが※※※な顔を晒してしまった、世界中で受賞しまくりのQUARTO(クアルト)をプレイ！【おもちゃ オススメ 紹介】,チャンネル登録して応援してね ！！ https://www.youtube.com/user/gorgeousgamemarket?sub_confirmation=1&app=desktop 【このゲームをまとめて見る】➡ ...,207519,1571,44,0,149
71,CfVjcK7jLjg,積分サークル,2020-07-29T10:00:19Z,UC82NEkDVsBe6nAPTgR8yy7w,【第3回】阪大生のボードゲーム大会！！ 〜Ito〜,お仕事のご依頼等は sekibuncircledx[@]gmail.com にお願いします。([@]の[]は除いて下さい。) Twitterアカウント キム： https://twitter.com/kimu_hyojun はしけん： ...,206939,4487,37,0,511
72,X2kuzLJ-JCA,ドドドスタジオ!!!,2020-07-21T10:00:12Z,UCSoN-Py0Jr1QD9O0UQqSrog,【アニメ】『呪いのボードゲーム』に巻き込まれた男女３人組の末路【漫画動画】,【アニメ】『呪いのボードゲーム』に巻き込まれた男女３人組の末路【漫画動画】 ☆オリジナル漫画動画『メイビーヒーロー!!!』 たくさんの正義（ヒーロー）たちによる群像劇です！,206146,2005,61,0,403
